"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat -s --output swap.csv",,,,"Date:","05 Jun 2019 10:49:53 SAST"

"swap",
"used","free"
0.0,968880128.0
0.0,968880128.0
0.0,968880128.0
0.0,968880128.0
0.0,968880128.0
0.0,968880128.0
0.0,968880128.0


"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat -m --output swap.csv",,,,"Date:","05 Jun 2019 10:50:04 SAST"

"memory usage",,,
"used","buff","cach","free"
200142848.0,3215360.0,379920384.0,455827456.0
200142848.0,3215360.0,379920384.0,455827456.0
200126464.0,3215360.0,379920384.0,455843840.0
200142848.0,3215360.0,379920384.0,455827456.0
200142848.0,3215360.0,379920384.0,455827456.0
200134656.0,3215360.0,379920384.0,455835648.0
200134656.0,3215360.0,379920384.0,455835648.0


"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat -c --output swap.csv",,,,"Date:","05 Jun 2019 10:50:15 SAST"

"total cpu usage",,,,,
"usr","sys","idl","wai","hiq","siq"
0.482,0.351,99.095,0.062,0.0,0.010
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.498,99.502,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
